"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","90.636.600","2,32","-0,43%"
"COGN3","Cogna","57.930.700","1,61","-0,62%"
"CRFB3","Carrefour Brasil","45.647.400","7,38","+1,23%"
"BBDC4","Banco Bradesco","44.812.400","11,88","+1,37%"
"MGLU3","Magazine Luiza","24.475.800","7,01","-1,13%"
"B3SA3","B3","21.988.200","11,17","+1,18%"
"VALE3","Vale","21.749.900","54,86","+0,13%"
"ABEV3","Ambev","21.078.300","10,98","+0,55%"
"JBSS3","JBS","19.956.600","32,34","-1,97%"
"BBAS3","Banco do Brasil","19.004.600","27,45","-0,54%"
"PRIO3","PetroRio","18.522.200","38,89","-1,57%"
"ITSA4","Itaúsa","18.222.100","9,53","+0,85%"
"CSAN3","Cosan","18.055.700","7,22","-1,23%"
"CVCB3","CVC","17.223.300","1,85","+1,09%"
"PCAR3","Grupo Pão de Açúcar","15.744.500","2,98","+3,11%"
"VBBR3","Vibra Energia","15.726.000","17,53","+1,45%"
"PETR4","Petrobras","15.351.300","36,32","+0,11%"
"ASAI3","Assaí","14.036.300","7,30","+2,38%"
"ITUB4","Itaú Unibanco","13.388.200","30,79","+0,52%"
"RENT3","Localiza","12.867.600","29,74","-3,06%"
"LREN3","Lojas Renner","12.838.400","13,10","+2,99%"
"CSNA3","Siderúrgica Nacional","12.508.800","8,36","-0,24%"
"AZUL4","Azul","12.435.400","3,62","+1,12%"
"USIM5","Usiminas","11.446.000","5,87","+3,35%"
"CPLE6","Copel","11.198.300","10,01","+0,30%"
"LWSA3","Locaweb","10.993.100","3,18","+1,92%"
"AMOB3","Vamos Locação","10.862.400","0,26","-3,70%"
"TIMS3","TIM","10.819.900","17,37","+0,40%"
"NTCO3","Natura","9.968.800","13,05","+0,85%"
"BRFS3","BRF","9.715.200","19,47","-3,76%"
"BBDC3","Banco Bradesco","9.395.700","10,83","+1,79%"
"BRAV3","3R Petroleum","9.151.300","20,26","-2,97%"
"AZEV4","Azevedo & Travassos","9.030.500","1,37","-2,84%"
"VIVA3","Vivara","8.967.700","18,46","-1,60%"
