Ticker;Price;LPA;VPA;Real Price
HAPV3;2,12;0,0;6,46;0,0
COGN3;1,55;0,0;6,19;0,0
CRFB3;7,23;2,14;9,41;21,29
BBDC4;11,47;1,93;15,7;26,11
MGLU3;7,31;0,5;14,97;12,98
B3SA3;10,7;0,93;3,53;8,59
VALE3;56,3;4,47;45,95;67,98
ABEV3;12,32;0,91;6,23;11,29
JBSS3;31,27;3,71;21,06;41,93
BBAS3;27,96;4,39;31,53;55,81
PRIO3;38,2;5,47;20,29;49,97
ITSA4;9,02;1,31;7,97;15,33
CSAN3;7,24;2,33;10,67;23,65
CVCB3;1,76;0,0;1,1;0,0
PCAR3;2,62;0,0;8,21;0,0
VBBR3;17,59;8,18;18,25;57,96
PETR4;36,61;6,61;30,54;67,39
ASAI3;6,87;0,61;3,69;7,12
ITUB4;32,74;5,14;20,54;48,74
RENT3;27,6;1,55;23,68;28,74
LREN3;11,28;1,34;9,81;17,2
CSNA3;8,67;0,0;10,12;0,0
AZUL4;3,88;0,0;0,0;0,0
USIM5;5,96;0,0;19,03;0,0
CPLE6;10,18;1,06;8,55;14,28
LWSA3;2,85;0,03;4,98;1,83
AMOB3;0,26;0,0;0,81;0,0
TIMS3;16,66;1,65;10,56;19,8
NTCO3;13,43;0,0;11,19;0,0
BRFS3;18,4;2,13;9,82;21,69
BBDC3;10,58;1,93;15,7;26,11
BRAV3;18,7;1,13;24,05;24,73
AZEV4;1,2;0,0;1,45;0,0
VIVA3;17,72;2,11;9,66;21,42
PETZ3;4,09;0,01;3,67;0,91
RADL3;18,45;0,66;3,67;7,38
POMO4;7,15;1,03;3,41;8,89
CCRO3;12,05;0,38;6,69;7,56
SUZB3;57,17;0,0;32,81;0,0
ONCO3;5,06;0,2;5,82;5,12
ELET3;37,25;4,4;52,56;72,13
GFSA3;1,12;0,0;16,81;0,0
RAIL3;17,45;0,0;8,08;0,0
UGPA3;17,1;2,47;13,18;27,06
BEEF3;4,5;0,04;1,23;1,05
MRFG3;15,17;1,43;5,94;13,82
BPAC11;32,04;3,56;14,67;34,28
CMIG4;11,26;2,8;9,81;24,86
MRVE3;4,71;0,0;11,67;0,0
GOAU4;9,21;1,64;18,91;26,42
HYPE3;19,26;2,46;19,28;32,67
CMIN3;5,32;0,71;1,63;5,1
RAIZ4;1,73;0,0;1,92;0,0
GGBR4;16,85;0,81;26,94;22,16
MOVI3;3,57;0,0;7,34;0,0
ANIM3;1,76;0,13;5,64;4,06
WEGE3;48,9;1,51;4,7;12,64
TOTS3;35,81;1,18;8,01;14,58
RDOR3;28,0;1,66;10,69;19,98
EMBR3;68,9;3,62;23,06;43,34
BBSE3;38,45;4,73;6,13;25,54
CXSE3;15,25;1,32;4,29;11,29
ENEV3;12,01;0,65;7,79;10,67
RCSL4;0,79;0,0;0,0;0,0
GMAT3;6,6;0,59;4,12;7,4
PETR3;39,24;6,61;30,54;67,39
ALOS3;18,28;1,61;25,68;30,5
VAMO3;4,08;0,64;4,81;8,32
IFCM3;0,06;0,0;0,0;0,0
KLBN11;20,56;1,52;8,08;16,62
SIMH3;3,24;0,0;3,8;0,0
CPLE3;9,14;1,06;8,55;14,28
